N°,Código,Nivel,Puntos,Dimensión,Tema,Buena Práctica,Acción,Medio de Verificación,Link Recursos
68,A068,Avanzado,4,Ambiente,Gases de Efecto Invernadero (GEI),Elaborar un plan de reducción de riesgos de desastres,"La planta incorpora monitoreo de parámetros de la situación meteorológica propia o cercana, para visualizar episodios extremos de sequías extremas, altas y bajas temperaturas, y episodios de alta pluviometría.","Registro de eventos meteorológicos significativos, indicando la fuente de obtención de la información (estación meteorológica propia o datos de portales como http://agroclima.cl/ o https://agrometeorologia.cl/ , de los siguientes puntos: * Altas temperaturas (más de 30°C). * Bajas temperaturas (menos de 4°C). * Lluvias. * Fuente de obtención de la información. Este registro debe ser actualizado de manera mensual.",https://ciruelacertificada.cl/?s=A068&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
69,A069,Avanzado,4,Ambiente,Gases de Efecto Invernadero (GEI),Elaborar un plan de reducción de riesgos de desastres,"La planta capacita al personal sobre el un plan de reducción, control y respuesta frente a riesgo de desastres, vinculados al Cambio Climático, para evitar que sean susceptibles a sufrir daños o pérdidas por efecto de las amenazas.","Registro de ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",https://ciruelacertificada.cl/?s=A069&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
70,A070,Fundamental,5,Calidad,Gestión de la Calidad,Poseer una política de calidad y de mejora continua en la planta,"La planta identifica y gestiona de manera eficiente, los principales Puntos Críticos de Control (PCC) asociados a la producción de ciruelas deshidratadas. Se deben considerar, al menos, los siguientes puntos: - Identificar el producto. - Describir el producto y el uso previsto, incluidas instrucciones de procesamiento validadas. - Listar materias primas/ingredientes. - Incluir un diagrama de flujo del proceso (con los PCC identificados). - Incluir un análisis de peligros de materias primas, productos y procesos. - Describir el objetivo y los límites críticos del PCC. - Describir el seguimiento y la frecuencia de los PCC. - Detallar acciones correctivas para cada PCC.",Protocolo de acciones de control de calidad realizadas en la planta.,https://ciruelacertificada.cl/?s=A070&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
71,A071,Básico,2,Calidad,Gestión de la Calidad,Poseer una política de calidad y de mejora continua en la planta,La planta establece un procedimiento de gestión de la calidad en la recepción de la materia prima y en las etapas del proceso productivo y el producto final.,"Protocolo de gestión de calidad que detalle los procesos realizados para cumplir los requisitos de seguridad, legalidad y calidad del producto",https://ciruelacertificada.cl/?s=A071&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
72,A072,Básico,2,Calidad,Gestión de la Calidad,Poseer una política de calidad y de mejora continua en la planta,La planta posee un procedimiento de gestión de la calidad conocida por las personas que trabajan en ella.,"Registro de ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",https://ciruelacertificada.cl/?s=A072&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
73,A073,Intermedio,3,Calidad,Gestión de la Calidad,Poseer una política de calidad y de mejora continua en la planta,"La planta establece canales de comunicación directos, para recibir y responder de manera oportuna los reclamos de clientes y consumidores.","Registro que evidencie las vías de comunicación con clientes y consumidores, ya sea de manera física (empaques) o digital (página web), para el envío de sugerencias y reclamos.",https://ciruelacertificada.cl/?s=A073&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
74,A074,Intermedio,3,Calidad,Gestión de la Calidad,Poseer una política de calidad y de mejora continua en la planta,"La planta gestiona sus auditorías internas en base a los riesgos asociados, para evaluar el nivel de cumplimiento de su política de gestión de calidad.","Comprobante de auditoría interna, que permita verificar que se cumple con los requisitos de las certificaciones aplicables (con su respectiva periodicidad).",https://ciruelacertificada.cl/?s=A074&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
75,A075,Básico,2,Calidad,Gestión de la Calidad,Documentar los procesos productivos realizados en la planta,La planta mantiene registros de todo el producto seco y tiernizado elaborado.,Documento de registro con la siguiente información: - Fecha. - Total de producto seco recolectado al día. - Tipo de secado. - Tiempo de almacenamiento máximo de producto seco. - Total de producto tiernizado elaborado al día. - Total de producto empacado al día. - Tipo de empaque. - Mercado de destino.,https://ciruelacertificada.cl/?s=A075&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
76,A076,Básico,2,Calidad,Gestión de la Calidad,Documentar los procesos productivos realizados en la planta,La planta registra todas las labores productivas realizadas y la persona responsable de su ejecución.,Registro con la siguiente información: - Labor. - Fase de la línea de proceso. - Fecha y hora de ejecución. - Persona responsable de su ejecución.,https://ciruelacertificada.cl/?s=A076&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
77,A077,Básico,2,Calidad,Gestión de la Calidad,Documentar los procesos productivos realizados en la planta,"La planta registra el consumo de materias primas, ingredientes e insumos utilizados para el procesamiento.",Registro diario con la siguiente información: - Volumen y procedencia de la fruta de la fase de producción primaria. - Tipo y cantidad de conservantes utilizados (sorbato de potasio). - Tipo y cantidad de material de embalaje utilizado.,https://ciruelacertificada.cl/?s=A077&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
78,A078,Básico,2,Calidad,Gestión de la Calidad,Poseer un sistema de trazabilidad del producto a lo largo de todas sus etapas de producción,"La planta establece políticas y procedimientos documentados para garantizar que todos los ingredientes, auxiliares tecnológicos, productos acabados y envases de los productos (interiores y exteriores) puedan rastrearse desde la producción hasta la distribución, a través de un protocolo de trazabilidad.",Protocolo del proceso de trazabilidad en la empresa que cuente con los siguientes aspectos: - Identificación de predio o proveedor de materia prima. - Identificación del tipo de secado. - Calibre. - % de humedad. - Despepitado. - Dosis de conservante adicionado. - Mercado de destino.,https://ciruelacertificada.cl/?s=A078&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
79,A079,Intermedio,3,Calidad,Gestión de la Calidad,Poseer un sistema de trazabilidad del producto a lo largo de todas sus etapas de producción,"La planta asegura que sus productos elaborados posean un código (N° de lote), que le permita rastrear la cantidad producida, enviada y desperdiciada; ubicación del material; y fechas de producción y envío.","Registro que evidencie la presencia del N° de lote en el producto terminado, ya sea en el paquete o en la etiqueta del producto.",https://ciruelacertificada.cl/?s=A079&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
80,A080,Básico,2,Calidad,Gestión de la Calidad,Poseer protocolos logísticos que faciliten la gestión del proceso productivo,La planta posee un diagrama de flujo del proceso productivo.,Registro del diagrama de flujo disponible ya sea en formato físico o digital.,https://ciruelacertificada.cl/?s=A080&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
81,A081,Básico,2,Calidad,Gestión de la Calidad,Poseer protocolos logísticos que faciliten la gestión del proceso productivo,La planta implementa un procedimiento que asegure el adecuado despacho del producto final.,"Registro con el N° de la guía de despacho que contenga la siguiente información: - Fecha despacho. - Tipo de producto (condición natural o tiernizado). - Calibre. - Tipo de empaque. - Documentación legal del mercado de destino. - Autorización de la autoridad fitosanitaria (SAG), al momento de cargar el contenedor.",https://ciruelacertificada.cl/?s=A081&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
82,A082,Intermedio,3,Calidad,Gestión de la Calidad,Poseer protocolos logísticos que faciliten la gestión del proceso productivo,"La planta optimiza el proceso de elaboración del producto final, a través de las siguientes medidas: - Realiza mantención y calibración de los equipos de las líneas de proceso anualmente o según las indicaciones del fabricante, en el caso de que requiera mantención con mayor frecuencia. - Maneja adecuadamente los inventarios de insumos, materias primas y producto terminado.",Son válidos los siguientes documentos: * Check listo o registro de labores de mantención ejecutadas en planta. * Inventario actualizado mensualmente.,https://ciruelacertificada.cl/?s=A082&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
83,A083,Fundamental,5,Calidad,Gestión de la Inocuidad,Poseer una política de inocuidad para la producción,La planta capacita a las personas que trabajan en ella sobre seguridad e higiene de los alimentos basada en el Codex y las regulaciones nacionales aplicables.,"Registro de ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",https://ciruelacertificada.cl/?s=A083&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
84,A084,Básico,2,Calidad,Gestión de la Inocuidad,Poseer una política de inocuidad para la producción,La planta utiliza señaléticas para promover sus prácticas sobre higiene e inocuidad.,"Inspección visual de las señaléticas con las siguientes temáticas: - Procedimientos de limpieza. - Manipulación de alimentos (lavado de manos, contaminación por agentes externos). - Uso de ropa de trabajo adecuada (cofia, calzado protector, delantal, etc.) y libre de accesorios.",https://ciruelacertificada.cl/?s=A084&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
85,A085,Intermedio,3,Calidad,Gestión de la Inocuidad,Poseer una política de inocuidad para la producción,"La planta establece, implementa, documenta y mantiene un sistema de seguridad y calidad alimentaria, para proteger el suministro de alimentos de los peligros biológicos, químicos y físicos, con el fin de evitar la contaminación.","Plan de análisis de riesgos, documentado para las materias primas, ingredientes, auxiliares tecnológicos y materiales de envasado que contenga, al menos la siguiente información: - Determinar puntos críticos de control. - Establecer límites críticos. - Establecer procedimientos de monitoreo. - Establecer medidas correctivas. - Establecer procedimientos de comprobación auditables. El plan debe ser revisado, al menos, una vez al año si se producen cambios en el producto o en el proceso.",https://ciruelacertificada.cl/?s=A085&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
86,A086,Avanzado,4,Calidad,Gestión de la Inocuidad,Poseer una política de inocuidad para la producción,La planta realiza auditorías internas anuales para evaluar el nivel de cumplimiento de su política de inocuidad.,"Comprobante de auditoría interna que permita verificar que se cumple con los requisitos de inocuidad, demostrando su capacidad para cumplir con los mismos mediante procesos documentados, medidas de control y resultados de sus auditorías realizadas, al menos, una vez por año.",https://ciruelacertificada.cl/?s=A086&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
87,A087,Básico,2,Calidad,Gestión de la Inocuidad,Utilizar agua con condiciones microbiológicas adecuadas para la producción,La planta utiliza agua potable cuando esta es un ingrediente del producto final.,Registro que acredite la utilización del servicio básico de agua potable en la planta.,https://ciruelacertificada.cl/?s=A087&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
88,A088,Avanzado,4,Calidad,Gestión de la Inocuidad,Utilizar agua con condiciones microbiológicas adecuadas para la producción,"La planta realiza análisis microbiológicos al agua que se encuentra en contacto con el producto, durante su procesamiento.","Informe periódicos de análisis con requisitos físicos, químicos, bacteriológicos y de desinfección establecidos en la Norma NCH 409/1.",https://ciruelacertificada.cl/?s=A088&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
89,A089,Básico,2,Calidad,Gestión de la Inocuidad,"Asegurar la adecuada limpieza de espacios, equipos e indumentarias requeridas para la producción","La planta se asegura de que sus instalaciones, interiores y exteriores posean una adecuada construcción y limpieza acorde con los requerimientos de seguridad e higiene de los alimentos.","Inspección visual del N° de la Resolución Sanitaria con fecha de otorgamiento, entregado por el servicio de salud del ambiente.",https://ciruelacertificada.cl/?s=A089&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
90,A090,Básico,2,Calidad,Gestión de la Inocuidad,"Asegurar la adecuada limpieza de espacios, equipos e indumentarias requeridas para la producción","La planta mantiene limpia y en buen estado, la indumentaria utilizada por el personal en contacto directo con el producto.","Se consideran válidos alguno siguientes documentos. - Registro de lavado de indumentaria de trabajo en la planta, que evidencie su lavado semanal. - Check list de higiene del personal, donde diariamente se va evaluando la limpieza de la indumentaria entregada. - Convenio o contrato con empresa que se encargue del lavado de los uniformes. - Documento con el procedimiento de lavado entregado a las personas que trabajan en la planta.",https://ciruelacertificada.cl/?s=A090&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
91,A091,Intermedio,3,Calidad,Gestión de la Inocuidad,"Asegurar la adecuada limpieza de espacios, equipos e indumentarias requeridas para la producción","La planta asegura adecuados protocolos de limpieza de superficies en contacto directo con el producto elaborado, a través de las siguientes medidas: - Los utensilios destinados a la limpieza de superficies que estén en contacto directo con el producto, son utilizados únicamente con este fin y existe una diferenciación por color con utensilios similares utilizados en otros espacios. - Los productos químicos de limpieza son adecuados para el entorno de producción y no se utilizan productos de limpieza fenólicos o perfumados. - Se utiliza agua potable para la limpieza de equipos en contacto directo con el producto.",Protocolo de limpieza de superficies.,https://ciruelacertificada.cl/?s=A091&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
92,A092,Intermedio,3,Calidad,Gestión de la Inocuidad,Asegurar la inocuidad de los insumos utilizados,"La planta se asegura de que los insumos, materias primas e ingredientes utilizados en el proceso productivo, no representen un riesgo para la inocuidad alimentaria.",Registro de los insumos que dé cuenta de la siguiente información: - Nombre del producto. - Fecha de compra. - Número de lote y proveedor. - Unidades adquiridas. - Fecha de vencimiento y vida útil.,https://ciruelacertificada.cl/?s=A092&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
93,A093,Básico,2,Calidad,Gestión de la Inocuidad,Prevenir la contaminación durante el proceso productivo,La planta previene la contaminación de agentes externos.,"Inspección visual de señaléticas de prohibición de las siguientes acciones: - Prohíbe fumar, comer y beber en áreas designadas para la producción. - Prohíbe la presencia de animales dentro de sus instalaciones.",https://ciruelacertificada.cl/?s=A093&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
94,A094,Básico,2,Calidad,Gestión de la Inocuidad,Prevenir la contaminación durante el proceso productivo,"La planta desarrolla procedimientos para gestionar las dificultades asociadas a enfermedades transmisibles, y quienes trabajan en ella, informan al personal encargado cuando presentan una enfermedad que pueda significar la contaminación del producto final.","Procedimiento para gestionar los problemas de salud de quienes trabajan en la empresa, que incluya: - Registro de quienes se han presentado con alguna enfermedad transmisible. - Prohibición de labores ante sospecha de enfermedades contagiosas. - Procedimientos para la protección de las heridas.",https://ciruelacertificada.cl/?s=A094&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
95,A095,Intermedio,3,Calidad,Gestión de la Inocuidad,Prevenir la contaminación durante el proceso productivo,"La planta provee al personal de instalaciones adecuadas para evitar todo agente contaminante antes de ingresar a sus espacios de trabajo, mediante las siguientes medidas: - Vestuarios y baños separados del área de producción. - Estaciones de lavado de manos en todos los puntos de entrada al área de producción. - Áreas segregadas para comer fuera del área de producción. - Zonas para almacenar artículos personales que puedan suponer un riesgo de contaminación para el producto final (ej. relojes, teléfonos, joyería, monedas, medicamentos, entre otros).",Inspección visual de instalaciones del personal.,https://ciruelacertificada.cl/?s=A095&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
96,A096,Fundamental,5,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad de la planta,La planta cuenta con una persona encargada o una persona que realiza asesorías financieras.,Son válidos alguno de los siguientes documentos: - Contrato de servicios de una persona que realiza asesorías financieras. - Descripción de cargos y CV de la persona encargada del área financiera.,https://ciruelacertificada.cl/?s=A096&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
97,A097,Fundamental,5,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad de la planta,La planta identifica los principales puntos críticos de su producción y busca mejoras para aumentar su productividad.,Documento de identificación de puntos críticos dentro de la planta.,https://ciruelacertificada.cl/?s=A097&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
98,A098,Fundamental,5,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad de la planta,"La planta evalúa la adopción de nuevas prácticas o tecnologías, considerando su contribución a la productividad.","Son válidos alguno de los dos documentos enunciados a continuación: * Documento de evaluación del proyecto que posea al menos propuesta de TIR y VAN y decisión sobre la adopción de la nueva práctica o tecnología. * Registro de procedimiento, diseño y desarrollo del plan de implementación de la nueva tecnología. Adicionalmente, se requiere un listado con las inversiones implementadas, indicando la temática a la que corresponde (agua, energía, residuos, etc.).",https://ciruelacertificada.cl/?s=A098&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
99,A099,Básico,2,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad de la planta,"La planta cuenta con un plan de gestión para su productividad y rentabilidad, que le permite definir indicadores de gestión y asegurar su viabilidad a largo plazo.",Documento de planificación que contenga los siguientes puntos: - Presupuesto. - Proyecciones de ventas. - Organigrama y descripción de cargos dentro de la empresa.,https://ciruelacertificada.cl/?s=A099&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
100,A100,Básico,2,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad de la planta,"La planta cuenta con un sistema de gestión contable que considera registros de inventario, control de gastos, ingresos y utilidades derivadas del proceso productivo.",Documentos de registro de los siguientes aspectos: - Inventario de productos entrantes y salientes. - Registro contable de la empresa.,https://ciruelacertificada.cl/?s=A100&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
101,A101,Avanzado,4,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad de la planta,La planta cuenta con una herramienta de gestión digital que facilita la implementación de medidas y registros.,Registro de licencia o suscripción a plataforma digital específica para la gestión agrícola o industrial.,https://ciruelacertificada.cl/?s=A101&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
