N°,Código,Nivel,Puntos,Dimensión,Tema,Buena Práctica,Acción,Medio de Verificación,Link
69,P069,Fundamental,5,Ambiente,Residuos,Compostar la materia orgánica generada utilizando el compost en su actividad productiva,"El predio reutiliza la materia orgánica generada en sus procesos, a través de al menos, una de las siguientes técnicas:  - Compostaje.  - Lombricultura.  - Reincorporación (picado o rastraje).  - Venta o donación a otras explotaciones.","Registro actualizado que contiene la siguiente información:  - Identificación del tipo de residuo orgánico.  - Identificación de la cantidad producida mensualmente.  - Ubicación dentro de la planta.  - Destino del residuo (reciclaje, reúso, etc.).",https://ciruelacertificada.cl/?s=P069&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
70,P070,Fundamental,5,Ambiente,Energía,Implementar un sistema de gestión de la energía,El predio establece un sistema de registro mensual del consumo de energía.,"Registro de consumo energético actualizado mensualmente que contenga la siguiente información:  - Tipo de fuente de energía (diésel, gas, gasolina y/o energía eléctrica).  - Consumo energético mensual (kWhe).  - Gasto en energía ($/mes).",https://ciruelacertificada.cl/?s=P070&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
71,P071,Intermedio,3,Ambiente,Energía,Implementar un sistema de gestión de la energía,El predio cuenta con un diagnóstico energético actualizado.,"Reporte de diagnóstico energético con levantamiento de información para la identificación de consumo cuenta con:  * Registros mensuales de consumo energético.  * Identificación de equipos y su consumo energético. (Identificar las áreas críticas en cuanto a consumo).  * Identificación de períodos de alto consumo energético por mes (estacional o continuo)..  * Registro de mantenimiento de equipos.  * Definición del indicador de consumo en base a la producción.  * Identificación de capacitaciones en el ámbito de energía.  * Identificación de oportunidades de mejora y costos, tiempo de implementación, necesidades adicionales (construcción, capacitación, remodelación, entre otras).  En el caso de que lo haga una empresa externa, ésta deberá entregar un informe que certifique las acciones realizadas para entregar el diagnóstico.",https://ciruelacertificada.cl/?s=P071&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
72,P072,Intermedio,3,Ambiente,Energía,Implementar un sistema de gestión de la energía,"El predio implementa un plan de capacitación para su personal, abordando la gestión eficiente de la energía.","Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada).",https://ciruelacertificada.cl/?s=P072&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
73,P073,Avanzado,4,Ambiente,Energía,Implementar un sistema de gestión de la energía,El predio implementa un sistema de gestión de la energía.,Documento con un sistema de gestión de la energía que considere la siguiente información:  * Determinación del alcance del sistema de gestión de la energía.  * Línea de base energética a través de un indicador de eficiencia energética indicando el año de la línea base (kWh /kilo de fruta seca).  * Una meta de intensidad energética.,https://ciruelacertificada.cl/?s=P073&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
74,P074,Fundamental,5,Ambiente,Energía,Implementar medidas de eficiencia energética relacionadas al plan de gestión,El predio cuenta con señalética que promueve el uso eficiente de la energía.,Inspección visual de señaléticas de uso eficiente de energía en espacios de trabajo con la siguiente información:  * Apaga la luz antes de salir.  * Cierra la puerta al salir.  * Recordar mantenciones preventivas.  * Regular el consumo de agua caliente.,https://ciruelacertificada.cl/?s=P074&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
75,P075,Básico,2,Ambiente,Energía,Implementar medidas de eficiencia energética relacionadas al plan de gestión,El predio implementa medidas para mejorar la eficiencia de los vehículos dentro de la explotación.,"Inspección visual de señaléticas en área de guardado de vehículos que apunten a las siguientes medidas.  - Control de la presión de los neumáticos.  - Reducción del peso de la carga en los vehículos.  - Conducción eficiente a velocidades inferiores a 20 km/h.  - Combina viajes y evita los que son innecesarios.  - Conduce suavemente, evitando aceleraciones y frenadas bruscas.  - Condiciones climáticas: El viento en contra y las temperaturas extremas pueden aumentar el consumo de combustible.",https://ciruelacertificada.cl/?s=P075&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
76,P076,Básico,2,Ambiente,Energía,Implementar medidas de eficiencia energética relacionadas al plan de gestión,"El predio realiza mantención de equipos, maquinarias y vehículos, una vez durante la temporada o más frecuentemente si las indicaciones del fabricante lo estipulan, asegurando un adecuado funcionamiento y uso eficiente de la energía.","Check list o registro de mantención de equipos, maquinarias y vehículos, con los siguientes datos:  • Fecha  • Tipo de evento  • Equipo o infraestructura  • Detalle labores  • Responsable  En el caso de que las mantenciones las realice una empresa externa, esta debe entregar un comprobante o informe que certifique que las acciones realizadas estén en función de lo solicitado.",https://ciruelacertificada.cl/?s=P076&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
77,P077,Intermedio,3,Ambiente,Energía,Implementar sistemas de energías renovables,El predio evalúa la prefactibilidad técnica y económica de incorporar energías renovables dentro de su sistema productivo.,"Documento con estudio de prefactibilidad técnico económica.  En el caso de que lo haga una empresa externa, esta debe entregar un informe que certifique que las acciones realizadas estén en función de lo solicitado.",https://ciruelacertificada.cl/?s=P077&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
78,P078,Avanzado,4,Ambiente,Energía,Implementar sistemas de energías renovables,La planta utiliza sistemas de energía renovable para autoconsumo energético.,Inspección visual de alguno de los siguientes tipos de energía.  - Energía solar.  - Eólica.  - Mini hidroeléctrica.  - Biomasa o biogás.,https://ciruelacertificada.cl/?s=P078&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
79,P079,Intermedio,3,Ambiente,Gases de Efecto Invernadero (GEI),Cuantificar emisiones de GEI en el predio,El predio cuantifica sus emisiones directas e indirectas de GEI de la unidad y define una línea base en las principales etapas de su producción.,"Registro de emisiones y capturas que incluya, fecha, monitoreo, periodo, balance de los siguientes aspectos:  Emisiones directas de GEI  • Combustión estacionaria  • Combustión móvil  • Uso suelo, cambios en el uso de suelo y silvicultura  • Procesos industriales  • Emisiones fugitivas  Emisiones indirectas de GEI causadas por energía importada  • Electricidad importada  • Otra energía importada y/o pérdidas T&D  Otras emisiones indirectas de GEI  • Transporte  • Bienes y servicios utilizados  • Uso de productos de la organización  *Se recomienda el uso de la plataforma de Huella Chile para cuantificar emisiones.  En el caso de que lo haga una empresa externa, esta debe entregar un informe que certifique que las acciones realizadas estén en función de lo solicitado.",https://ciruelacertificada.cl/?s=P079&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
80,P080,Intermedio,3,Ambiente,Gases de Efecto Invernadero (GEI),Cuantificar emisiones de GEI en el predio,El predio monitorea periódicamente los GEI de la unidad.,"Reporte anual de emisiones y capturas, con indicación de la metodología empleada y los resultados obtenidos.  En el caso de que lo haga una empresa externa, esta debe entregar un informe que certifique que las acciones realizadas estén en función de lo solicitado.",https://ciruelacertificada.cl/?s=P080&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
81,P081,Intermedio,3,Ambiente,Gases de Efecto Invernadero (GEI),Reducir las emisiones y promover las capturas de GEI en el predio,"El predio implementa un plan de capacitación para el personal, que aborda la problemática asociada al cambio climático y conceptos sobre cuantificación y mitigación de emisión de GEI.","Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada).",https://ciruelacertificada.cl/?s=P081&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
82,P082,Avanzado,4,Ambiente,Gases de Efecto Invernadero (GEI),Reducir las emisiones y promover las capturas de GEI en el predio,"El predio cuenta con un protocolo para reducir sus emisiones de GEI que contempla, por ejemplo, alguna de las siguientes medidas:  • Usar maquinaria agrícola eficiente energéticamente.  • Optimiza las distancias de transporte en el campo para lograr reducciones en el uso de combustible.  • Utiliza luminarias LED en bodegas, salas de empaque y oficinas para disminuir consumo eléctrico.  • Cambia de combustibles fósiles a electricidad de la red o paneles solares en el sistema de bombeo para riego.  • Emplea métodos de labranza de conservación que promueven la captura de carbono en el suelo, como mínima labranza y los cultivos de cobertura.  • Usa fertilizantes de formulación avanzada para reducir emisiones.  • Recicla, composta y valoriza los residuos orgánicos generados en el huerto y sus procesos.  • No utiliza fuego para la preparación de tierra o la eliminación en el campo de los residuos derivados de la producción.",Protocolo para reducir las emisiones de GEI.,https://ciruelacertificada.cl/?s=P082&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
83,P083,Avanzado,4,Ambiente,Gases de Efecto Invernadero (GEI),Elaborar un plan de reducción de riesgo de desastres,"La planta elabora e implementa un plan de reducción, control y respuesta frente a riesgo de desastres, vinculados al Cambio Climático. La elaboración del plan contempla determinar las amenazas históricas y proyectadas, identificar los recursos mínimos y capacidades para abordar las amenazas, y determinar las debilidades respecto de los recursos y capacidades requeridas. Las medidas del plan se elaboran en función de las debilidades detectadas y su respectiva priorización.","Plan de reducción, control y respuesta frente a riesgos de desastres, vinculados al Cambio Climático que contenga al menos la siguiente información:  *Listado de las amenazas o peligros (internas y externas) según su origen, y evaluación de recursos y vulnerabilidades para enfrentar cada una de ellas  * Programas de trabajo en sus fases de prevención, respuesta y recuperación.  *Definición de responsables y de mecanismos para asignación de recursos que financien los programas de trabajo que surjan del plan.  * Realización de simulaciones y simulacros.  El plan debe ser evaluado posterior a la ocurrencia de cada evento de emergencia o desastre.",https://ciruelacertificada.cl/?s=P083&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
84,P084,Avanzado,4,Ambiente,Gases de Efecto Invernadero (GEI),Elaborar un plan de reducción de riesgo de desastres,"El predio incorpora monitoreo de parámetros de la situación meteorológica propia o cercana, para visualizar periodos de sequías extremas, altas y bajas temperaturas, y episodios de alta pluviometría.","Registro de eventos meteorológicos significativos, indicando la fuente de obtención de la información (estación meteorológica propia o datos de portales como http://agroclima.cl/ o https://agrometeorologia.cl/ , de los siguientes puntos:  * Altas temperaturas (más de 30°C).  * Bajas temperaturas (menos de 4°C).  * Lluvias.  * Fuente de obtención de la información.  Este registro debe ser actualizado de manera mensual.",https://ciruelacertificada.cl/?s=P084&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
85,P085,Avanzado,4,Ambiente,Gases de Efecto Invernadero (GEI),Elaborar un plan de reducción de riesgo de desastres,"La planta capacita al personal sobre el un plan de reducción, control y respuesta frente a riesgo de desastres, vinculados al Cambio Climático, para evitar que sean susceptibles a sufrir daños o pérdidas por efecto de las amenazas.","Registro de ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada).",https://ciruelacertificada.cl/?s=P085&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
86,P086,Avanzado,4,Ambiente,Gases de Efecto Invernadero (GEI),Elaborar un plan de reducción de riesgo de desastres,"El predio evalúa las condiciones de degradación del suelo, monitoreando la presencia de signos de erosión.","Registro de monitoreo de erosión de suelo que considere los siguientes aspectos:  * Presencia de zanjas o corrugado en laderas con más de 10%.  * Presencia de cubiertas vegetales vivas.  * Presencia de cubierta vegetales inertes.  * Presencia/ausencia de infraestructura de protección contra aluviones (zanjas, muros de contención y de derivación de caudales).",https://ciruelacertificada.cl/?s=P086&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
87,P087,Fundamental,5,Calidad,Gestión de la Calidad,Poseer una política de calidad y de mejora continua en el predio,El predio identifica y gestiona de manera eficiente los principales puntos críticos de control (PCC) para la obtención de ciruelas para deshidratado.,"Protocolo para la gestión eficiente de los PCC con las siguientes medidas.  - Grado de maduración de la fruta en base a acuerdos con clientes (brix, color, tamaño).  - Aplicación de agroquímicos cumpliendo con los límites máximos de residuos.  - Humedad de secado (cancha u horno).  - Otros identificados por la empresa.",https://ciruelacertificada.cl/?s=P087&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
88,P088,Básico,2,Calidad,Gestión de la Calidad,Poseer una política de calidad y de mejora continua en el predio,El predio establece un procedimiento de control de calidad de la fruta cosechada.,Registro de acciones de control de calidad realizadas en el predio:  - Medición de niveles de grados brix en la fruta.  - Medición de firmeza en la fruta.  - Registro de identificación de defectos en la fruta.,https://ciruelacertificada.cl/?s=P088&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
89,P089,Básico,2,Calidad,Gestión de la Calidad,Poseer una política de calidad y de mejora continua en el predio,El predio posee procedimiento de control de calidad de la fruta conocida por las personas que trabajan en él.,"Documentación de la ejecución de capacitaciones (lista de asistencia identificando sexo del participante, tema expuesto, expositor, material expuesto y certificación entregada).",https://ciruelacertificada.cl/?s=P089&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
90,P090,Básico,2,Calidad,Gestión de la Calidad,Poseer una política de calidad y de mejora continua en el predio,"El predio establece canales de comunicación con sus contrapartes directas en planta, para gestionar de manera oportuna los reclamos y no conformidades del proceso agroindustrial.","Informes de los controles de calidad desde planta, que justifiquen la no conformidad del producto.",https://ciruelacertificada.cl/?s=P090&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
91,P091,Intermedio,3,Calidad,Gestión de la Calidad,Poseer una política de calidad y de mejora continua en el predio,"El predio gestiona sus auditorías internas, en base los riesgos asociados, para evaluar el nivel de cumplimiento de su política de gestión de calidad.","Comprobante de auditoría interna, que permita verificar que se cumple con los requisitos de las certificaciones aplicables (con su respectiva periodicidad).",https://ciruelacertificada.cl/?s=P091&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
92,P092,Básico,2,Calidad,Gestión de la Calidad,Documentar los procesos productivos realizados en el predio,El predio mantiene registros de todo su producto cosechado dentro de la explotación.,Documento de registro del producto cosechado con la siguiente información:  - Fecha de cosecha.  - Total de producción cosechada al día (kg).  - Sector o cuartel cosechado.  - Tipo de secado posterior (horno o cancha).  - Empresa agroindustrial de destino.,https://ciruelacertificada.cl/?s=P092&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
93,P093,Intermedio,3,Calidad,Gestión de la Calidad,Documentar los procesos productivos realizados en el predio,El predio registra todas las labores productivas realizadas y las personas responsables de su ejecución.,Cuaderno de campo con labores productivas indicando:  - Fecha y hora.  - Sector o cuartel.  - Labor realizada.  - Objetivo.  - Responsable.,https://ciruelacertificada.cl/?s=P093&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
94,P094,Intermedio,3,Calidad,Gestión de la Calidad,Documentar los procesos productivos realizados en el predio,El predio lleva un inventario de sus insumos para llevar una adecuada gestión de la calidad.,Inventario de los insumos que dé cuenta de la siguiente información:  - Nombre del producto.  - Fecha de compra.  - Número de lote y proveedor.  - Unidades adquiridas.  - Volumen utilizado.  - Fecha de caducidad o vencimiento.,https://ciruelacertificada.cl/?s=P094&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
95,P095,Intermedio,3,Calidad,Gestión de la Calidad,Documentar los procesos productivos realizados en el predio,El predio maneja un registro de sus ventas para llevar una adecuada gestión de la calidad.,Registro de ventas con documentos tributarios asociados:  * Facturas.  * Guías de despacho.,https://ciruelacertificada.cl/?s=P095&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
96,P096,Básico,2,Calidad,Gestión de la Calidad,Poseer un sistema de trazabilidad del producto a lo largo de todas sus etapas de producción,El predio posee un protocolo de trazabilidad.,"Registro de trazabilidad en el predio que permita rastrear los siguientes aspectos:  - Identificación del campo o cuarteles.  - Variedad o especie.  - Superficie.  - Año de plantación.  Además, debe contar con los registros de labores actualizados en el cuaderno de campo.",https://ciruelacertificada.cl/?s=P096&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
97,P097,Intermedio,3,Calidad,Gestión de la Calidad,Poseer un sistema de trazabilidad del producto a lo largo de todas sus etapas de producción,"El predio asegura que sus productos posean un código que le permite rastrear la información sobre todos sus procesos productivos, al momento de llegar a la planta.",Registro con el N° de guía de despacho o lote interno en la tarja del producto.,https://ciruelacertificada.cl/?s=P097&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
98,P098,Fundamental,5,Calidad,Gestión de la Inocuidad,Poseer una política de inocuidad para la producción,El predio utiliza señaléticas para promover prácticas sobre inocuidad e higiene.,"Inspección visual de las señaléticas con las siguientes temáticas:  - Procedimientos de limpieza.  - Prohibición de labores ante sospecha de enfermedades contagiosas.  - Manipulación de alimentos (lavado de manos, contaminación por agentes externos).",https://ciruelacertificada.cl/?s=P098&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
99,P099,Intermedio,3,Calidad,Gestión de la Inocuidad,Poseer una política de inocuidad para la producción,"El predio posee un plan de gestión de la inocuidad, que garantiza que los productos cumplan con los requerimientos de calidad y seguridad requeridos.",Protocolo que contenga la siguiente información:  - Realizar análisis de riesgos.  - Determinar Puntos Críticos de Control (PCC).  - Establecer límites críticos.  - Establecer procedimientos de monitoreo.  - Establecer medidas correctivas.  - Establecer procedimientos de comprobación auditables.,https://ciruelacertificada.cl/?s=P099&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
100,P100,Avanzado,4,Calidad,Gestión de la Inocuidad,Poseer una política de inocuidad para la producción,"El predio realiza auditorías internas anuales, para evaluar el nivel de cumplimiento de su política de inocuidad.","Comprobante de auditoría interna, que permita verificar que se cumple con los requisitos de inocuidad, al menos una vez por año.",https://ciruelacertificada.cl/?s=P100&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
101,P101,Básico,2,Calidad,Gestión de la Inocuidad,"Asegurar la inocuidad de los insumos, espacios, equipos e indumentarias requeridas para la producción","El predio cuenta con un lugar adecuado para la disposición temporal de la fruta cosechada (antes de ser enviada a secado), impidiendo el contacto con contaminantes o vectores.","Inspección visual de los espacios de disposición temporal de la fruta, asegurando que estos posean sombras y no se ubiquen cerca de agentes contaminantes.",https://ciruelacertificada.cl/?s=P101&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
